2026-04-15 11:18:03 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour fsm avec Groq...
2026-04-15 11:18:08 |     INFO | gemini_analyzer.py:73 | [SWOT OK] fsm → 1748 caractères
2026-04-15 11:18:08 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour fsm avec Groq...
2026-04-15 11:18:09 |     INFO | gemini_analyzer.py:129 | [PLAN OK] fsm → 1526 caractères
2026-04-15 11:18:38 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour isimm avec Groq...
2026-04-15 11:18:41 |     INFO | gemini_analyzer.py:73 | [SWOT OK] isimm → 1628 caractères
2026-04-15 11:18:41 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour isimm avec Groq...
2026-04-15 11:18:42 |     INFO | gemini_analyzer.py:129 | [PLAN OK] isimm → 1486 caractères
2026-04-15 11:38:56 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour isimm avec Groq...
2026-04-15 11:38:59 |     INFO | gemini_analyzer.py:73 | [SWOT OK] isimm → 1731 caractères
2026-04-15 11:38:59 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour isimm avec Groq...
2026-04-15 11:39:00 |     INFO | gemini_analyzer.py:129 | [PLAN OK] isimm → 1555 caractères
2026-04-15 11:42:10 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour isimm avec Groq...
2026-04-15 11:42:12 |     INFO | gemini_analyzer.py:73 | [SWOT OK] isimm → 1289 caractères
2026-04-15 11:42:12 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour isimm avec Groq...
2026-04-15 11:42:14 |     INFO | gemini_analyzer.py:129 | [PLAN OK] isimm → 1973 caractères
2026-04-15 11:43:30 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour isimm avec Groq...
2026-04-15 11:43:32 |     INFO | gemini_analyzer.py:73 | [SWOT OK] isimm → 1329 caractères
2026-04-15 11:43:32 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour isimm avec Groq...
2026-04-15 11:43:34 |     INFO | gemini_analyzer.py:129 | [PLAN OK] isimm → 1907 caractères
2026-04-15 11:44:02 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour apple avec Groq...
2026-04-15 11:44:04 |     INFO | gemini_analyzer.py:73 | [SWOT OK] apple → 1770 caractères
2026-04-15 11:44:04 |     INFO | gemini_analyzer.py:115 | [PLAN] Génération pour apple avec Groq...
2026-04-15 11:44:06 |     INFO | gemini_analyzer.py:129 | [PLAN OK] apple → 1987 caractères
2026-04-15 11:47:35 |     INFO | gemini_analyzer.py:59 | [SWOT] Génération pour tesla avec Groq...
